Material,CPU numbers,Operation Unit Size,Throughput (Op/sec),Throughput (kOps/sec)
SATASSD,2,16,"112,766",112.766
SATASSD,2,32,"160,806",160.806
SATASSD,2,64,"195,766",195.766
SATASSD,2,128,"267,181",267.181
SATASSD,4,16,"90,149",90.149
SATASSD,4,32,"134,096",134.096
SATASSD,4,64,"145,165",145.165
SATASSD,4,128,"203,186",203.186
SATASSD,8,16,"66,760",66.76
SATASSD,8,32,"93,234",93.234
SATASSD,8,64,"109,228",109.228
SATASSD,8,128,"148,402",148.402
SATASSD_tuned,2,16,"118,404",118.4043
SATASSD_tuned,2,32,"168,846",168.8463
SATASSD_tuned,2,64,"205,554",205.5543
SATASSD_tuned,2,128,"280,540",280.54005
SATASSD_tuned,4,16,"94,656",94.65645
SATASSD_tuned,4,32,"140,801",140.8008
SATASSD_tuned,4,64,"152,423",152.42325
SATASSD_tuned,4,128,"213,345",213.3453
SATASSD_tuned,8,16,"70,098",70.098
SATASSD_tuned,8,32,"97,896",97.8957
SATASSD_tuned,8,64,"114,689",114.6894
SATASSD_tuned,8,128,"155,822",155.8221
NVMeSSD,2,16,"335,898",335.898
NVMeSSD,2,32,"331,184",331.184
NVMeSSD,2,64,"312,457",312.457
NVMeSSD,2,128,"308,432",308.432
NVMeSSD,4,16,"403,296",403.296
NVMeSSD,4,32,"389,617",389.617
NVMeSSD,4,64,"371,045",371.045
NVMeSSD,4,128,"344,215",344.215
NVMeSSD,8,16,"413,797",413.797
NVMeSSD,8,32,"393,490",393.49
NVMeSSD,8,64,"378,156",378.156
NVMeSSD,8,128,"342,011",342.011
NVMeSSD_tuned,2,16,"361,160",361.16
NVMeSSD_tuned,2,32,"354,021",354.021
NVMeSSD_tuned,2,64,"343,760",343.76
NVMeSSD_tuned,2,128,"331,772",331.772
NVMeSSD_tuned,4,16,"415,079",415.079
NVMeSSD_tuned,4,32,"390,275",390.275
NVMeSSD_tuned,4,64,"378,710",378.71
NVMeSSD_tuned,4,128,"347,905",347.905
NVMeSSD_tuned,8,16,"412,403",412.403
NVMeSSD_tuned,8,32,"402,515",402.515
NVMeSSD_tuned,8,64,"376,904",376.904
NVMeSSD_tuned,8,128,"350,244",350.244
PM,2,16,"191,920",191.92
PM,2,32,"195,239",195.239
PM,2,64,"194,287",194.287
PM,2,128,"188,181",188.181
PM,4,16,"204,116",204.116
PM,4,32,"199,442",199.442
PM,4,64,"196,285",196.285
PM,4,128,"192,417",192.417
PM,8,16,"200,460",200.46
PM,8,32,"203,867",203.867
PM,8,64,"195,460",195.46
PM,8,128,"191,389",191.389
PM_tuned,2,16,"324,180",324.18
PM_tuned,2,32,"326,639",326.639
PM_tuned,2,64,"321,286",321.286
PM_tuned,2,128,"314,376",314.376
PM_tuned,4,16,"399,785",399.785
PM_tuned,4,32,"381,924",381.924
PM_tuned,4,64,"367,792",367.792
PM_tuned,4,128,"337,491",337.491
PM_tuned,8,16,"406,333",406.333
PM_tuned,8,32,"387,040",387.04
PM_tuned,8,64,"372,657",372.657
PM_tuned,8,128,"352,611",352.611
